id,name,symbol,rank,price,day_volume,market_cap,p_day_vol,available_supply,total_supply,p_tot_supply,max_supply,p_max_supply,p_change_hour,p_change_day,p_change_week,last_updated,load_date
cryptonex,Cryptonex,CNX,52,6.28896,185544.0,284030498.0,0.000653253792485,45163349.0,106600975.0,0.423667316364,210000000.0,0.215063566667,-0.0034,-0.0008,-0.1358,2018-03-14 10:34:14,2018-03-14 10:38:41
digibyte,DigiByte,DGB,53,0.0267768,1729250.0,266935206.0,0.00647816384325,9968898664.0,9968898664.0,1.0,21000000000.0,0.47470946019,-0.0002,0.0001,-0.148,2018-03-14 10:34:02,2018-03-14 10:38:41
hshare,Hshare,HSR,54,6.21491,18343700.0,265591720.0,0.0690672886941,42734604.0,42734604.0,1.0,84000000.0,0.508745285714,-0.0117,0.0256,-0.231,2018-03-14 10:34:13,2018-03-14 10:38:41
syscoin,Syscoin,SYS,55,0.483586,1506790.0,257061139.0,0.00586160166356,531572748.0,531572748.0,1.0,888000000.0,0.598617959459,-0.0011,0.0236,-0.2376,2018-03-14 10:34:03,2018-03-14 10:38:41
pivx,PIVX,PIVX,56,4.6097,1279810.0,257012248.0,0.00497956813327,55754658.0,55754658.0,1.0,1.0,0,-0.0003,0.0375,-0.1692,2018-03-14 10:34:06,2018-03-14 10:38:41
dragonchain,Dragonchain,DRGN,57,1.05562,1095160.0,251682968.0,0.00435134728704,238421940.0,433494437.0,0.549999999193,1.0,0,-0.0163,-0.0142,-0.2618,2018-03-14 10:34:17,2018-03-14 10:38:41
golem-network-tokens,Golem,GNT,58,0.300606,6287520.0,250784163.0,0.0250714396188,834262000.0,1000000000.0,0.834262,1.0,0,-0.0139,-0.0151,-0.2722,2018-03-14 10:34:08,2018-03-14 10:38:41
monacoin,MonaCoin,MONA,59,4.30249,1718160.0,249748142.0,0.00687957069967,58047350.0,58047350.0,1.0,1.0,0,-0.0008,0.002,-0.1418,2018-03-14 10:34:02,2018-03-14 10:38:41
basic-attention-token,Basic Attention Token,BAT,60,0.249004,4200560.0,249004000.0,0.0168694478804,1000000000.0,1500000000.0,0.666666666667,1.0,0,0.0033,-0.0405,-0.2562,2018-03-14 10:34:12,2018-03-14 10:38:41
aion,Aion,AION,61,2.58371,2311270.0,248434834.0,0.00930332499186,96154303.0,465934587.0,0.206368674236,1.0,0,0.0372,0.1053,-0.1117,2018-03-14 10:34:15,2018-03-14 10:38:41
